reconstruct	nsubjpass
rebuild	dobj
reap	nsubj
raise	xcomp
question	nsubjpass
qualify	dobj
pursue	xcomp
prowl	nsubj
protest	dep
protest	conj
poke	conj
plan	nsubj
pinion	nsubjpass
peruse	nsubj
peep	xcomp
patronize	dobj
patrol	nsubj
overturn	nsubj
overstep	nsubj
outdo	nmod
originate	ccomp
observe	dep
nudge	dobj
muse	nsubj
muffle	nsubjpass
modify	nsubj
mention	conj
mend	nsubj
measle	nmod
man	nsubj
lumber	dobj
love	nsubjpass
listen	nsubjpass
lisp	nsubj
link	nsubj
lease	nmod
learn	nsubjpass
leap	parataxis
launch	nsubj
laugh	advcl
labor	nsubj
kiss	dep
jump	nsubjpass
jeopardize	dobj
introduce	xcomp
intimate	nsubj
interview	dobj
interpret	nsubj
interchange	nmod
intend	dep
instruct	nsubjpass
install	nsubj
inquire	conj
inhale	nsubj
infuriate	dobj
indite	nmod
improvise	nsubj
imperil	dobj
ignite	nsubj
identify	nsubj
hunch	dobj
humble	nmod
hug	nsubj
hint	dep
herr	nmod
hark	nmod
halt	advcl
haggle	nmod
guide	nsubjpass
guess	parataxis
grope	nsubj
grin	dep
gratify	nsubj
grapple	nmod
gesture	nmod
gain	xcomp
forward	nsubj
fortify	nsubj
fly	advcl
flop	nsubj
flock	nmod
float	conj
finger	nsubj
fidget	nsubj
fare	nsubj
falter	dobj
extort	nmod
express	dep
expound	nsubj
expostulate	nmod
explode	nsubjpass
exhort	nsubj
exalt	nsubjpass
evolve	nsubj
esteem	nmod
espy	nsubj
er	nsubj
equip	nsubjpass
enumerate	nsubj
encamp	nsubjpass
emphasize	nsubj
elect	dobj
efface	parataxis
educate	nsubj
echo	dep
dropt	nsubj
divest	nsubj
dismiss	nsubjpass
dislodge	nsubjpass
disgust	nsubjpass
disengage	nsubj
discourage	nsubjpass
disconcert	nsubj
discompose	nmod
discard	nmod
disarrange	nsubj
disappear	nmod:tmod
diagnose	nsubj
design	nsubj
denounce	nsubjpass
delight	dobj
defy	nsubj
declaim	nmod
decapitate	dobj
date	nsubj
dat	dobj
dam	nsubj
cuff	nsubjpass
count	parataxis
compromise	dobj
comprehend	nsubjpass
compensate	nsubjpass
collar	nmod
class	nsubjpass
cite	dobj
churn	nsubj
caricature	nmod
cant	nsubj
bump	dobj
bow	nsubjpass
bore	nsubjpass
blunder	dobj
bless	xcomp
bid	nsubjpass
betroth	nsubj
bestir	nsubj
beset	nsubjpass
bequeath	nsubj
bend	parataxis
bemoan	dobj
belong	dobj
belly	nmod
believe	nsubjpass
believe	advmod
beckon	dobj
band	dobj
assist	nsubjpass
assign	nsubjpass
arm	dobj
apprehend	nsubjpass
annotate	dobj
amaze	dobj
amalgamate	dobj
allow	iobj
alienate	dobj
agonize	nsubj
advise	nsubjpass
admonish	nsubjpass
admit	nmod:tmod
adhere	nsubj
acquit	nsubj
acquaint	nsubj
absent	nsubj
ask	dobj
continue	nsubj
answer	nsubj
wake	nsubj
spring	nsubj
treat	nsubj
recover	nsubj
join	nsubj
win	nsubj
respond	nsubj
refuse	nsubj
tell	nsubj
say	dobj
awake	nsubj
shake	nsubj
speak	nsubj
add	nsubj
call	nsubj
seat	nsubjpass
want	nsubj
fling	nsubj
understand	nsubj
pay	nsubj
remove	nsubj
whisper	nsubj
engage	nsubjpass
enter	nsubj
forget	nsubj
suspect	nsubj
seize	nsubjpass
repeat	xcomp
decide	nsubj
